label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,soxs_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized,MAR
X_inv50+pw.5x25d90,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_inv50%,131,False,364797.2,143.2,42.3,-28.7,40.3,-19.3,95,36,141494.0,-83941.0,331465.0,-29930.0,0.0,10,79446.75,0.0,2798.0,PASS,-28.7,2024-07-08,2025-03-17,2025-06-16,48,1.3,66.4,44.3,12.4,-7.5,73.0,635.0,1.47
X_inv50+pw+tp3,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x_inv50%,131,False,372912.65,148.6,43.5,-28.7,41.6,-19.9,95,36,144549.0,-88426.0,343272.0,-29126.0,0.0,10,78131.5,0.0,2807.0,PASS,-28.7,2024-07-08,2025-03-17,2025-06-16,48,1.3,66.9,47.1,12.4,-7.9,73.0,635.0,1.52
X_inv50+pw+tp3+apy4,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x_inv50%_apy4%,131,False,393211.03,162.1,46.6,-27.7,41.6,-19.9,95,36,150046.0,-93292.0,357634.0,-30746.0,0.0,10,80257.15,12497.0,2882.0,PASS,-27.7,2026-06-15,2026-06-29,NEVER (end of data),47,3.3,71.1,48.3,13.3,-7.8,73.0,636.0,1.68
X_inv50+dd20,pmcc_c18%_L75%_t150_share_repl_dd20%@0.5_inv50%,131,False,292370.1,94.9,30.3,-25.8,23.8,-7.3,96,35,89648.0,-72488.0,216820.0,0.0,0.0,10,72025.89,0.0,1962.0,PASS,-25.8,2024-07-08,2025-04-14,2025-09-15,61,0.4,44.9,33.9,1.8,-3.0,73.0,635.0,1.17
X_pw+dd20,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_dd20%@0.5,131,False,283258.05,88.8,28.7,-32.9,30.3,-10.7,91,40,119294.0,-95834.0,267128.0,-35299.0,0.0,10,83533.04,0.0,2737.0,PASS,-32.9,2024-06-10,2025-03-17,2025-10-20,66,-5.4,44.6,38.1,6.4,-3.5,69.0,608.0,0.87
X_pw+tp3+nocallBT,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x_nocallBT,131,False,611371.75,307.6,74.7,-39.7,51.2,-20.8,61,29,194659.0,-85006.0,610966.0,-61234.0,0.0,10,126752.4,0.0,3355.0,PASS,-39.7,2024-07-08,2025-03-17,2025-06-16,48,5.2,106.5,87.6,21.8,-9.2,47.0,0.0,1.88
X_pw+tp3+nocallD10,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x_nocallD10%,131,False,498694.3,232.5,61.1,-40.1,48.6,-19.9,92,35,209687.0,-141016.0,550072.0,-56330.0,0.0,10,127766.1,0.0,4031.0,PASS,-40.1,2024-07-08,2025-03-17,2025-06-23,49,0.5,91.4,72.8,15.1,-8.9,70.0,929.0,1.52
X_pw+tp3+repair,pmcc_c18%_L75%_t150_share_repl_lo55%_pw0.5x25%d90_tp3x,131,False,481736.3,221.2,58.9,-44.6,48.1,-18.9,96,35,205480.0,-162405.0,536218.0,-38019.0,0.0,13,127321.3,0.0,4057.0,PASS,-44.6,2024-07-08,2025-04-21,2025-09-29,63,12.3,56.2,83.0,3.0,-8.8,73.0,1074.0,1.32
X_recovery_kit,pmcc_c18%_L75%_t150_share_repl_lo55%_pw0.5x25%d90_tp3x_nocallBT_apy4%,131,False,659481.12,339.7,80.0,-44.7,51.2,-19.8,62,31,194025.0,-108896.0,673603.0,-62278.0,0.0,13,147187.65,10468.0,3416.0,PASS,-44.7,2024-07-08,2025-04-14,2025-06-30,50,21.9,70.1,112.0,7.9,-8.7,47.0,0.0,1.79
X_inv50+pw+tp3+skips+apy4,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x_nocallBT_nocallD10%_inv50%_apy4%,131,False,477078.1,218.1,58.3,-27.6,41.5,-19.4,61,29,130657.0,-51911.0,401703.0,-34269.0,0.0,10,80359.85,13827.0,2272.0,PASS,-27.6,2024-07-08,2025-03-17,2025-06-02,46,7.4,78.8,65.7,17.2,-7.6,47.0,0.0,2.11
X_inv60+pw.25x25d90+tp3+apy4,pmcc_c18%_L75%_t150_share_repl_pw0.25x25%d90_tp3x_inv60%_apy4%,131,False,463638.69,209.1,56.5,-32.3,46.9,-21.0,96,35,188411.0,-117023.0,440972.0,-19254.0,0.0,10,97675.75,12325.0,3382.0,PASS,-32.3,2024-07-08,2025-03-24,2025-06-16,48,7.6,81.1,58.7,12.1,-9.3,73.0,802.0,1.75
X_pw+soxs10,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_soxs10%,131,False,378952.03,152.6,44.5,-35.7,43.4,-17.8,62,69,184412.0,-128095.0,466548.0,-43673.0,-61978.0,10,108298.93,0.0,3849.0,PASS,-35.7,2024-06-10,2025-03-17,2025-06-23,48,-3.7,80.4,45.4,16.4,-9.5,47.0,-83.0,1.25
X_inv50+apy4,pmcc_c18%_L75%_t150_share_repl_inv50%_apy4%,131,False,440684.06,193.8,53.4,-28.8,42.7,-19.6,103,28,159941.0,-101243.0,381010.0,0.0,0.0,10,85300.15,13663.0,2746.0,PASS,-28.8,2026-06-15,2026-06-29,NEVER (end of data),48,11.2,69.7,55.7,8.9,-9.4,79.0,728.0,1.85
