date,sleeve,overlay,combined
2024-01-02,1698011.5620914507,-241958.29151262948,1456053.2705788212
2024-01-03,1698011.5620914507,-211607.0936201921,1486404.4684712586
2024-01-04,1698011.5620914507,-197811.09457817508,1500200.4675132756
2024-01-05,1698011.5620914507,-208847.89381178873,1489163.668279662
2024-01-08,1698011.5620914507,-258513.49036304984,1439498.071728401
2024-01-09,1692118.9111646388,-261272.69017145323,1430846.2209931856
2024-01-10,1692118.9111646388,-257133.89045884815,1434985.0207057907
2024-01-11,1769370.4176390101,-266791.08978826005,1502579.3278507502
2024-01-12,1791487.5478594976,-258513.49036304984,1532974.0574964478
2024-01-16,1773185.4591484107,-278655.6489643947,1494529.810184016
2024-01-17,1864029.0910047824,-264031.88997985667,1599997.2010249258
2024-01-18,1901309.672824878,-300729.2474316218,1600580.4253932561
2024-01-19,1939335.8662813755,-333839.6451324626,1605496.2211489128
2024-01-22,1996416.2338114774,-338530.2848067484,1657885.949004729
2024-01-23,2036344.558487707,-346807.88423195854,1689536.6742557485
2024-01-24,2001701.946153361,-350670.7639637233,1651031.1821896376
2024-01-25,1956138.0792003726,-344600.52438523585,1611537.5548151368
2024-01-26,1897653.2522036103,-324182.4458030507,1573470.8064005596
2024-01-29,1952591.9854127083,-332460.0452282609,1620131.9401844474
2024-01-30,1952591.9854127083,-324458.36578389106,1628133.6196288173
2024-01-31,2074552.3755335843,-308179.08691431105,1766373.2886192733
2024-02-01,2178279.9943102635,-317008.5263012019,1861271.4680090616
2024-02-02,2178279.9943102635,-332735.96520910127,1845544.0291011622
2024-02-05,2178279.9943102635,-345980.12428943755,1832299.8700208259
2024-02-06,2180858.6033594618,-334391.4850941433,1846467.1182653185
2024-02-07,2224475.775426651,-348739.32409784093,1875736.4513288098
2024-02-08,2222415.631574267,-358396.52342725283,1864019.1081470142
2024-02-09,2256301.2730175974,-371088.84254590847,1885212.430471689
2024-02-12,2145490.668356414,-371364.7625267488,1774125.9058296653
2024-02-13,2120619.992957478,-353705.88375296706,1766914.109204511
2024-02-14,2181581.6801231764,-369433.3226608664,1812148.35746231
