exp,year,n_bars,pct_priced,n_episodes,n_drift_moved,atm_pct_stale_moved
20250124,2025,86742,23.90768024716977,8335,2510,11.998068166137713
20250131,2025,117473,27.759570284235522,12091,4104,14.956967979900574
20250207,2025,135169,23.953717198470066,12314,4356,19.56531541687334
20250214,2025,147335,20.167645162385043,12600,4374,20.585275530330474
20250221,2025,235736,20.413937625139987,21178,6809,8.490873533246415
20250228,2025,178935,20.597423645457848,15420,5548,19.54240205176661
20250307,2025,164478,20.451975340167074,13159,6214,19.41985838429353
20250314,2025,153023,20.48515582624834,12311,6786,21.96969696969697
20250321,2025,215907,22.128509033982226,19995,8518,10.452726233172202
20250328,2025,186677,16.966203656583296,14105,7138,25.901439693793222
20250404,2025,179962,17.172514197441682,12356,6694,25.34679089026915
20250411,2025,160765,19.2921344820079,10741,6969,28.104295789698654
20250417,2025,210061,22.443480703224303,18726,11554,15.517241379310345
20250425,2025,179488,18.172245498306296,12113,7809,29.686309372618748
20250502,2025,167638,18.52682566005321,11276,7009,25.139280555746613
20250509,2025,150179,18.77026748080624,10425,5664,22.492184010719072
20250516,2025,502282,17.546119510553833,39088,19394,18.35815725666782
20250523,2025,180041,19.22339911464611,14469,6652,17.120726495726498
20250530,2025,169692,20.677462697121847,14440,5566,11.357179752066116
20250606,2025,139514,20.858121765557577,11028,3695,10.866362679761487
20250613,2025,142437,20.167512654717523,10677,3494,12.772606382978724
20250620,2025,197658,25.210211577573382,19613,5972,4.261086414398785
20250627,2025,170482,19.71527785924614,14053,4352,10.394683441558442
20250703,2025,128051,18.387205097968778,10098,3155,13.400166093249496
20250711,2025,126913,18.31727246223791,9517,2638,16.5946983327336
20250718,2025,173301,23.79963185440361,17544,4328,6.371547041990305
20250725,2025,150951,17.747480970646105,11195,2904,16.428571428571427
20250801,2025,155375,19.470957361222847,12234,3105,12.988370573631256
20250808,2025,136217,19.75671171733337,10327,2615,11.684152867315552
20250815,2025,768724,15.654773364692659,57704,23274,20.41963726270512
20250822,2025,168932,17.771055809438117,12365,3430,15.014447258588092
20250829,2025,176328,19.72630552152806,14826,3561,12.93161359666801
20250905,2025,137776,19.224683544303797,11128,2909,15.014432989690722
20250912,2025,138171,18.4640771218273,10463,2288,14.626572969439449
20250919,2025,197342,23.345765219770755,20170,3895,5.881129065815937
20250926,2025,182095,17.003212608803096,14235,3028,12.32509036252371
20251003,2025,152707,17.961848507272098,12257,2560,10.989264157028982
20251010,2025,156262,17.406663168268675,11652,2988,12.442417331813
20251017,2025,202556,22.002804162799425,19661,4816,6.231055685459427
20251024,2025,190232,15.589385592329366,12690,4143,12.921541637990364
20251031,2025,220963,16.907355530111374,16512,5079,15.554531135953287
20251107,2025,200897,15.75135517205334,13579,5227,24.166267751715335
20251114,2025,198843,15.29548437712165,12408,5299,29.3292128703872
20251121,2025,873917,13.591336477033861,62516,25748,17.439885456000226
20251128,2025,236898,14.207380391560925,14428,7399,33.60541668896858
20251205,2025,206387,15.422483005228043,13398,5812,29.665580960366345
20251212,2025,189531,16.285990154644885,12643,4698,28.060014902120166
20251219,2025,301733,16.89639515730795,21674,8988,21.568293927538697
20251226,2025,215836,14.537426564613872,13242,4866,27.6798233837525
20260102,2026,8453,27.28025553058086,699,242,3.259361997226075
20260109,2026,60672,26.613594409282697,5352,1199,3.2520325203252036
20260116,2026,143464,21.939301845759214,12710,3003,7.255556835195209
20260123,2026,147335,17.593239895476295,11253,3521,16.82556354528561
20260130,2026,190627,17.239425684714128,14223,4572,19.03923000902333
20260206,2026,215354,16.229556915590145,14436,6592,25.70670806649848
20260213,2026,238817,14.322263490455034,14175,6696,32.742334851588055
20260220,2026,356211,14.651709239748351,24616,10357,30.604581299286522
20260227,2026,294749,12.986642872410084,16794,7183,39.22326872434817
20260306,2026,218830,15.67152584197779,13776,6176,44.44233732369325
20260313,2026,224360,15.51702620788019,13480,6330,43.88083337457317
20260320,2026,327534,15.955290137817753,21534,9416,35.93818615252714
20260327,2026,246875,16.419645569620254,15772,7031,39.2705779936313
20260402,2026,232655,16.11484816573897,14143,6503,39.39863608183509
20260410,2026,237869,18.11837608095212,17406,6945,34.17349878129847
20260417,2026,279028,20.063936235789956,22928,8588,32.33271884808928
20260424,2026,310786,15.129059867561601,20760,7902,42.11663568773234
20260501,2026,364032,13.681489539381154,22427,9325,39.58879080722918
20260508,2026,390971,11.97275501252011,21029,9315,36.001814264655856
20260515,2026,1036006,11.57724955260877,57858,28465,36.662328874082554
20260522,2026,534040,11.065276009287693,26891,15298,43.784692162753984
20260529,2026,533961,9.950726738469664,24062,13478,46.256268372816876
20260605,2026,519504,11.265553296990976,24558,15577,49.66000327707685
20260612,2026,468628,12.411763701699428,22963,17329,53.288568886012456
20260618,2026,702784,12.703049585647937,40780,24262,37.627944142155926
20260626,2026,505442,12.562074382421724,25697,16849,52.7997037556764
20260702,2026,361267,13.305671428610971,17690,11731,51.38825207600999
20260710,2026,376040,14.51733858100202,20993,13465,49.475622968580716
20260717,2026,941443,11.730184408402845,48616,32282,43.87218444538887
20260724,2026,358107,8.978601367747627,14069,10162,60.2051697662515
20260731,2026,300437,7.434170891068677,10762,7690,62.232888253465745
20260807,2026,151838,5.88324398371949,4516,3499,62.512341800556506
20260814,2026,86505,4.826310617883359,2153,1693,62.44389027431422
20260821,2026,1158614,6.27646481054087,38239,26006,51.683912135599556
20260828,2026,42028,3.640430189397544,723,600,59.34022257551669
20260918,2026,538622,4.67619220900743,13290,10062,54.51321244817423
20261120,2026,490353,3.8782265021321374,8254,6214,64.48480296161172
20261218,2026,438055,3.8714316695392132,7549,5836,60.75511213240641
