bucket,,iv,rv,vrp
60d,2024-12-24,0.8427250000000002,0.9954854742989837,-0.15276047429898354
60d,2024-12-26,0.874075,1.0126019650084541,-0.13852696500845407
60d,2024-12-27,0.82875,1.0232178900729358,-0.19446789007293586
60d,2024-12-30,0.88595,1.1114603816158088,-0.22551038161580883
60d,2024-12-31,0.8964750000000001,1.1250094455653086,-0.22853444556530844
60d,2025-01-02,0.8822749999999999,1.1508826070166513,-0.26860760701665143
60d,2025-01-08,0.8567250000000001,1.1835339528119466,-0.32680895281194655
60d,2025-01-16,0.8935500000000001,1.2432989284302618,-0.34974892843026173
60d,2025-01-17,0.852975,1.2242581137347235,-0.37128311373472345
60d,2025-01-21,0.846325,1.1930054375903572,-0.34668043759035716
60d,2025-01-22,0.81885,1.1999102662278331,-0.3810602662278332
60d,2025-01-23,0.813725,1.2253163430382936,-0.4115913430382936
60d,2025-01-24,0.844625,1.2186520753288868,-0.3740270753288868
60d,2025-01-27,1.058725,1.0579226628454759,0.0008023371545240465
60d,2025-01-28,0.9538249999999999,1.0692298697304603,-0.11540486973046038
60d,2025-01-29,1.0275750000000001,1.0809740549926783,-0.05339905499267816
60d,2025-01-30,0.966525,1.0662114785679848,-0.09968647856798485
60d,2025-02-06,0.8888375000000001,1.4928288293374552,-0.6039913293374551
60d,2025-02-13,0.7558499999999999,2.0286412907343867,-1.2727912907343868
60d,2025-02-20,0.589025,2.0248369701595155,-1.4358119701595156
60d,2025-02-21,0.892625,2.0295575942648276,-1.1369325942648276
60d,2025-02-24,0.907325,2.056462075231626,-1.149137075231626
60d,2025-02-25,0.9601999999999999,2.078106438281254,-1.117906438281254
60d,2025-02-26,0.925925,2.0968474903241323,-1.1709224903241324
60d,2025-03-06,0.9359,2.0221076440755668,-1.0862076440755668
60d,2025-03-07,1.0742500000000001,2.008978933627913,-0.934728933627913
60d,2025-03-10,1.183525,1.940243952641059,-0.7567189526410592
60d,2025-03-11,1.0897999999999999,1.9621527966669021,-0.8723527966669022
60d,2025-03-12,1.090775,1.9798018886555129,-0.8890268886555128
60d,2025-03-13,1.0964999999999998,2.042550095833288,-0.946050095833288
60d,2025-03-14,0.981125,2.0405544812922414,-1.0594294812922413
