date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2025-06-10,3.044926014219562,0.7096732945463751,2.423725700603769,0.18018018018017234,False,0.0,0,0
2025-06-11,2.445445803110078,2.1658810039495515,2.423725700603769,0.8441176470588234,False,0.0,0,0
2025-06-12,2.5571641032346726,1.529947916666663,2.423725700603769,0.9531914893617083,False,0.0,0,0
2025-06-13,2.6604582432896136,3.4634341281470555,2.423725700603769,0.017307692307693003,False,0.0,0,0
2025-06-16,3.0105766016504796,1.964321507316094,2.4291404022354905,0.9319727891156501,False,0.0,0,0
2025-06-17,2.914625670163174,1.4558872861455803,2.4291404022354905,0.7834101382488472,False,0.0,0,0
2025-06-18,3.1538498545480436,1.8238104852278134,2.423725700603769,0.78966789667897,False,0.0,0,0
2025-06-20,3.286780894410407,1.6083822744260523,2.423725700603769,0.5518672199170184,False,0.0,0,0
2025-06-23,3.083106697489244,2.155488822155501,2.423725700603769,0.9814241486068106,False,0.0,0,0
2025-06-24,3.4597029109488298,1.496855345911947,2.423725700603769,0.21008403361344577,False,0.0,0,0
2025-06-25,3.3539873177759247,1.4099313586049107,2.423725700603769,0.3640350877192911,False,0.0,0,0
2025-06-26,3.234775732419652,1.7868299387729687,2.423725700603769,0.4860139860139889,False,0.0,0,0
2025-06-27,2.970072855881253,1.155963302752285,2.423725700603769,0.8571428571428658,False,0.0,0,0
2025-06-30,3.1749272898054737,1.4294258373205662,2.423725700603769,0.7405857740585741,False,0.0,0,0
2025-07-01,2.332401350788305,0.9535729185291105,2.423725700603769,0.7062499999999997,False,0.0,0,0
2025-07-02,2.3734038617886917,2.3689252743424567,2.423725700603769,0.23774509803921468,False,0.0,0,0
2025-07-03,2.502126768367032,2.5007269555103298,2.423725700603769,0.7906976744186038,False,0.0,0,0
2025-07-07,2.67581229055617,1.3778967146842724,2.423725700603769,0.884297520661156,False,0.0,0,0
2025-07-08,3.005058737728176,1.07362863009681,2.423725700603769,0.5573770491803296,False,0.0,0,0
2025-07-09,3.151164388264823,1.1570930987661658,2.423725700603769,0.43877551020408684,False,0.0,0,0
2025-07-10,2.9435889617232505,0.9340234398238998,2.423725700603769,0.5796178343949048,False,0.0,0,0
2025-07-11,2.9659666767994337,1.7078250520678395,2.423725700603769,0.3763066202090531,False,0.0,0,0
2025-07-14,2.671759108485299,2.484921592279858,2.423725700603769,0.8009708737864096,False,0.0,0,0
2025-07-15,2.3582045342820903,2.8648164726947076,2.423725700603769,0.23958333333332946,False,0.0,0,0
2025-07-16,2.7843575396633384,1.3527575442247535,2.4291404022354905,0.18099547511311356,False,0.0,0,0
2025-07-17,3.2273208535094127,2.9373809377496474,2.4291404022354905,0.8033472803347286,False,0.0,0,0
2025-07-18,3.64432713659737,0.8849557522123894,2.4350972381108007,0.7866666666666523,False,0.0,0,0
2025-07-21,3.5173383119832584,1.0093855144324468,2.4291404022354905,0.9473684210526299,False,0.0,0,0
2025-07-22,3.535924280784793,1.113546170704256,2.423725700603769,0.08510638297872179,False,0.0,0,0
2025-07-23,2.9544857839862204,1.4086976852934279,2.423725700603769,0.49377593360995825,False,0.0,0,0
2025-07-24,2.71806638751504,1.2516506861112746,2.423725700603769,0.8440366972477054,False,0.0,0,0
2025-07-25,2.265366990565545,1.0260231571706935,2.423725700603769,0.4301675977653708,False,0.0,0,0
2025-07-28,2.572803371583818,0.7735305742194142,2.415047280017047,0.25547445255473955,False,0.0,0,0
2025-07-29,2.475998207430346,0.739255014326643,2.415047280017047,0.8372093023255742,False,0.0,0,0
2025-07-30,2.835536557242901,1.3345820650901434,2.415047280017047,0.692982456140356,False,0.0,0,0
2025-07-31,2.8925719860832273,2.800334368282779,2.407502827673305,0.9573560767590642,False,0.0,0,0
2025-08-01,3.264440519634674,3.641909979455889,2.415047280017047,0.0957264957264962,False,0.0,0,0
2025-08-04,3.5564111563748297,1.219358893777497,2.423725700603769,0.7783505154639284,False,0.0,0,0
2025-08-05,3.4861602556874502,1.6476085085454364,2.423725700603769,0.11940298507462402,False,0.0,0,0
2025-08-06,3.617367192511746,1.212761987685812,2.423725700603769,0.5948717948717879,False,0.0,0,0
2025-08-07,3.364866330060024,1.6358550231087312,2.423725700603769,0.2416356877323443,False,0.0,0,0
2025-08-08,3.696478517462657,1.1735910631354365,2.423725700603769,0.7112299465240691,False,0.0,0,0
2025-08-11,3.388182657714796,1.0325213305304908,2.423725700603769,0.5449101796407283,False,0.0,0,0
2025-08-12,3.2629541655868026,1.5307063379848656,2.423725700603769,0.3815261044176691,False,0.0,0,0
2025-08-13,3.005941877763603,2.162419057803117,2.423725700603769,0.7664835164835172,False,0.0,0,0
2025-08-14,3.0638752519152663,0.9795191451469145,2.423725700603769,0.8060606060606075,False,0.0,0,0
2025-08-15,2.450830188027351,0.9961197660276823,2.423725700603769,0.18604651162791966,False,0.0,0,0
2025-08-18,2.7160151892633726,0.9248624795986223,2.423725700603769,0.05228758169935454,False,0.0,0,0
2025-08-19,2.664686562832501,1.3585813044785038,2.423725700603769,0.7256637168141562,False,0.0,0,0
2025-08-20,2.584928851175681,1.8657606103958009,2.423725700603769,0.33865814696485746,False,0.0,0,0
2025-08-21,2.684257933203144,1.9026101432903195,2.415047280017047,0.6031249999999954,False,0.0,0,0
2025-08-22,2.619707337932433,1.271012710127094,2.415047280017047,0.7096774193548391,False,0.0,0,0
