date,move_by_1545_pct,move_to_close_pct,overnight_pct
2024-12-27,-2.2348,-0.8672,-4.8838
2024-12-30,-0.9561,-1.0623,0.9306
2024-12-31,-2.9433,-3.1915,3.0026
2025-01-02,-1.6353,-1.4931,2.3491
2025-01-03,5.5438,5.5085,6.6734
2025-01-06,2.735,2.2634,3.3241
2025-01-07,-7.8642,-7.2684,-1.1236
2025-01-08,-2.4026,-1.9481,-3.7111
2025-01-10,-3.7164,-3.6476,-5.7733
2025-01-13,4.1982,4.9546,2.2262
2025-01-14,-2.7397,-0.843,5.441
2025-01-15,1.6863,0.9781,5.0768
2025-01-16,-2.3204,-4.5772,6.8023
2025-01-17,1.7484,1.4986,2.5854
2025-01-21,1.8302,1.0501,2.9682
2025-01-22,2.0755,1.1531,-4.8649
2025-01-23,2.6914,4.2763,0.0573
2025-01-24,-6.6113,-6.3251,-15.2833
2025-01-27,-9.6529,-9.436,1.5164
2025-01-28,0.511,-0.3145,2.9168
2025-01-29,-2.1448,-1.7235,3.5047
2025-01-30,0.9029,2.4078,1.768
2025-01-31,-2.7506,-2.3887,-8.2161
2025-02-03,3.5081,2.8226,-1.0543
2025-02-04,3.1176,3.6701,-0.6095
2025-02-05,5.366,6.4009,-1.9134
2025-02-06,0.5521,1.7667,0.6501
2025-02-07,-6.1356,-5.5257,2.2408
2025-02-10,1.8574,1.5973,-2.4497
2025-02-11,2.8486,2.7361,-4.4526
2025-02-12,4.66,5.042,-0.1816
2025-02-13,3.2012,3.6377,0.0702
2025-02-14,0.2106,0.1755,2.2767
2025-02-18,2.6027,2.637,0.6669
2025-02-19,4.0411,4.1736,1.843
2025-02-20,-1.7161,-1.1856,0.6625
2025-02-21,-9.6835,-9.9029,1.2149
2025-02-24,-6.3786,-8.4019,-0.3737
2025-02-25,-5.7014,-6.0765,3.6697
2025-02-26,1.5775,1.3851,1.8638
2025-02-27,-17.3264,-18.82,0.2299
2025-02-28,1.5138,4.2661,4.3115
2025-03-03,-15.9848,-13.4964,-1.1214
2025-03-04,4.2899,1.7258,2.9056
2025-03-05,3.8118,3.3412,-10.205
2025-03-06,-2.3846,-2.4353,1.4041
2025-03-07,6.1026,7.1282,-7.3755
2025-03-10,-8.0145,-6.9804,0.3335
2025-03-11,-1.7729,-3.9889,6.4905
2025-03-12,-1.2945,-0.8091,0.4372
2025-03-13,-2.3395,-1.4146,5.3621
2025-03-14,2.6758,3.83,-1.4646
2025-03-17,7.7909,6.3557,-2.886
2025-03-18,-1.3373,-1.3373,-0.2007
2025-03-19,4.726,2.5641,-3.7782
2025-03-20,1.8358,1.4788,-5.5695
2025-03-21,2.2848,2.2317,6.2241
2025-03-24,3.1738,2.3438,-0.8095
2025-03-25,-1.1522,-1.3442,-1.2165
2025-03-26,-7.7833,-7.4877,-3.3528
2025-03-27,-1.1564,-2.533,-2.4212
2025-03-28,-8.6555,-7.6168,-5.9888
2025-03-31,5.2422,5.7067,-1.3793
2025-04-01,-0.3814,1.3986,-4.7649
2025-04-02,7.2416,6.9783,-15.0677
2025-04-03,-16.365,-17.3787,-11.9194
2025-04-04,-7.1642,-13.2338,-9.7365
2025-04-07,15.736,18.401,13.7705
2025-04-08,-25.5524,-20.8453,2.6667
2025-04-09,49.4687,51.7119,-14.4871
2025-04-10,-18.315,-11.8132,-2.9076
2025-04-11,9.7326,9.6257,8.9932
2025-04-14,-4.3946,-6.278,1.2416
2025-04-15,-0.9434,-0.283,-13.8679
2025-04-16,-2.3001,2.4096,2.3555
2025-04-17,-3.9749,-3.9749,-5.8696
2025-04-21,-1.8476,0.2309,2.8703
2025-04-22,1.2277,2.567,15.2505
2025-04-23,-3.6862,-3.3081,7.3858
2025-04-24,7.6923,8.9593,-3.0833
2025-04-25,4.7291,6.0189,-1.4587
2025-04-28,0.3289,0.7401,-3.9056
2025-04-29,1.3548,0.508,-7.3356
2025-04-30,8.4622,10.1911,3.125
2025-05-01,-1.5949,-3.8278,6.5289
2025-05-02,3.3359,3.3359,-2.7088
2025-05-05,1.3921,0.6187,-5.4406
2025-05-06,4.6191,2.269,-0.2373
2025-05-07,5.8684,5.2339,4.2169
2025-05-08,0.6503,-1.2283,4.0264
2025-05-09,-0.7741,-0.8445,19.7023
2025-05-12,-0.0592,1.5394,1.4011
2025-05-13,7.1387,7.0236,1.9892
2025-05-14,-1.8977,-0.738,-2.7601
2025-05-15,-0.3275,0.8734,0.5956
2025-05-16,-1.4532,-1.0226,-6.7428
2025-05-19,4.4898,5.3644,-2.4363
2025-05-20,0.9648,2.0999,-2.3372
2025-05-21,-2.6211,-3.3618,-0.2353
2025-05-22,-1.2972,-2.7123,-7.874
2025-05-23,4.2735,3.3531,6.3573
