decision_date,leg,soxl_on_pct,xlu_on_pct,net_sleeve_0_pct,net_sleeve_10_pct,net_sleeve_20_pct,net_sleeve_30_pct
2023-10-10,SOXL,1.1448,0.563,1.139,1.1923,1.2456,1.2989
2023-10-11,SOXL,0.4864,-0.5037,0.4806,0.4272,0.3738,0.3204
2023-10-12,SOXL,0.5803,0.6651,0.5745,0.6379,0.7014,0.7649
2023-10-13,SOXL,0.7903,0.2024,0.7845,0.799,0.8134,0.8279
2023-10-16,SOXL,-5.811,-0.8513,-5.8168,-5.905,-5.9931,-6.0813
2023-10-17,SOXL,-4.8187,-0.1004,-4.8245,-4.8375,-4.8506,-4.8637
2023-10-18,SOXL,2.6258,-0.3208,2.62,2.5849,2.5498,2.5147
2023-10-19,SOXL,0.1149,-0.0853,0.1091,0.0975,0.086,0.0744
2023-10-20,SOXL,-1.6837,-0.9133,-1.6895,-1.7866,-1.8837,-1.9808
2023-10-23,SOXL,1.7094,1.512,1.7036,1.8518,1.9999,2.1481
2023-10-24,SOXL,-3.8732,-0.1694,-3.879,-3.899,-3.919,-3.939
2023-10-25,SOXL,1.1364,0.2696,1.1306,1.1545,1.1784,1.2024
2023-10-26,SOXL,4.0816,-0.4343,4.0758,4.0294,3.9829,3.9364
2023-10-27,SOXL,-2.1136,0.4257,-2.1194,-2.0826,-2.0458,-2.009
2023-10-30,SOXL,0.2759,0.4055,0.2701,0.3076,0.3451,0.3826
2023-10-31,SOXL,0.2011,0.134,0.1953,0.2056,0.216,0.2264
2023-11-01,SOXL,5.8234,0.2153,5.8176,5.8361,5.8546,5.8731
2023-11-02,SOXL,3.0445,1.5285,3.0387,3.1885,3.3383,3.4881
2023-11-03,SOXL,0.3263,0.1778,0.3205,0.3325,0.3445,0.3565
2023-11-06,SOXL,-0.6565,0.0486,-0.6623,-0.6604,-0.6586,-0.6568
2023-11-07,SOXL,0.3226,-0.4245,0.3168,0.2713,0.2258,0.1803
2023-11-08,SOXL,1.9272,0.1809,1.9214,1.9365,1.9515,1.9666
2023-11-09,SOXL,3.7561,0.45,3.7503,3.7923,3.8343,3.8762
2023-11-10,SOXL,-2.3775,-0.2155,-2.3833,-2.4106,-2.4379,-2.4653
2023-11-13,SOXL,7.55,2.2483,7.5442,7.766,7.9878,8.2096
2023-11-14,SOXL,1.9847,-0.2743,1.9789,1.9484,1.9179,1.8875
2023-11-15,SOXL,-1.4557,0.8254,-1.4615,-1.382,-1.3025,-1.2229
2023-11-16,SOXL,-1.0128,0.5473,-1.0186,-0.9669,-0.9152,-0.8635
2023-11-17,SOXL,-0.2592,-0.4656,-0.265,-0.3173,-0.3696,-0.422
2023-11-20,SOXL,-2.4804,-0.0805,-2.4862,-2.4972,-2.5083,-2.5194
2023-11-21,SOXL,1.7967,0.3535,1.7909,1.8232,1.8555,1.8878
2023-11-22,SOXL,-0.087,-0.016,-0.0928,-0.0988,-0.1048,-0.1108
2023-11-24,SOXL,-1.256,0.0798,-1.2618,-1.2595,-1.2573,-1.2551
2023-11-27,SOXL,-1.8753,0.0159,-1.8811,-1.8825,-1.8839,-1.8854
2023-11-28,SOXL,4.0816,0.0318,4.0758,4.076,4.0761,4.0763
2023-11-29,SOXL,0.8602,0.288,0.8544,0.8802,0.906,0.9317
2023-11-30,SOXL,-1.7128,0.0478,-1.7186,-1.7168,-1.7151,-1.7133
2023-12-01,SOXL,-3.1615,-0.4722,-3.1673,-3.2203,-3.2733,-3.3263
2023-12-04,SOXL,-2.7367,0.0948,-2.7425,-2.736,-2.7295,-2.7231
2023-12-05,SOXL,4.199,0.4456,4.1932,4.2347,4.2763,4.3178
2023-12-06,SOXL,2.4674,0.1414,2.4616,2.4727,2.4838,2.4949
2023-12-07,SOXL,-0.7334,-0.1574,-0.7392,-0.758,-0.7767,-0.7955
2023-12-08,SOXL,2.7825,-0.5204,2.7767,2.7189,2.661,2.6032
2023-12-11,SOXL,-1.4165,0.141,-1.4223,-1.4113,-1.4002,-1.3891
2023-12-12,SOXL,0.1499,0.1101,0.1441,0.1521,0.1601,0.1681
2023-12-13,SOXL,2.4705,0.6064,2.4647,2.5223,2.5799,2.6375
2023-12-14,SOXL,0.8275,-0.9985,0.8217,0.7189,0.616,0.5131
2023-12-15,SOXL,-0.0327,-0.6566,-0.0385,-0.1099,-0.1814,-0.2528
2023-12-18,SOXL,0.1651,0.3479,0.1593,0.191,0.2228,0.2546
2023-12-19,SOXL,-1.8525,-0.1258,-1.8583,-1.8739,-1.8895,-1.9051
2023-12-20,SOXL,6.0606,0.3371,6.0548,6.0855,6.1162,6.1468
2023-12-21,SOXL,1.1897,0.3685,1.1839,1.2177,1.2515,1.2854
2023-12-22,SOXL,1.2447,-0.1597,1.2389,1.2158,1.1927,1.1696
2023-12-26,SOXL,1.2438,-0.1905,1.238,1.2159,1.1938,1.1717
2023-12-27,SOXL,0.7108,-0.3177,0.705,0.6702,0.6354,0.6006
2023-12-28,SOXL,-0.0311,-0.2208,-0.0369,-0.062,-0.0871,-0.1122
2023-12-29,SOXL,-4.8089,-0.4263,-4.8147,-4.8645,-4.9143,-4.964
2024-01-02,SOXL,-5.0696,-0.0311,-5.0754,-5.0816,-5.0877,-5.0938
2024-01-03,SOXL,-4.731,0.1085,-4.7368,-4.729,-4.7212,-4.7133
2024-01-04,SOXL,0.5488,-0.14,0.543,0.526,0.5089,0.4919
2024-01-05,SOXL,2.1203,-0.217,2.1145,2.087,2.0595,2.0321
2024-01-08,SOXL,-3.372,-0.5231,-3.3778,-3.4331,-3.4884,-3.5438
2024-01-09,SOXL,0.6325,0.0,0.6267,0.6236,0.6206,0.6176
2024-01-10,SOXL,0.213,-0.3258,0.2072,0.1716,0.136,0.1004
2024-01-11,SOXL,0.4216,0.6671,0.4158,0.4795,0.5432,0.6069
2024-01-12,SOXL,0.2138,-0.4896,0.208,0.1519,0.0958,0.0397
2024-01-16,SOXL,-2.9422,-0.5748,-2.948,-3.0085,-3.069,-3.1295
2024-01-17,SOXL,8.0225,-0.5023,8.0167,7.9635,7.9102,7.8569
2024-01-18,SOXL,3.9436,0.0983,3.9378,3.9446,3.9514,3.9582
2024-01-19,SOXL,2.235,-0.0328,2.2292,2.2201,2.2111,2.202
2024-01-22,SOXL,-0.227,0.033,-0.2328,-0.2325,-0.2322,-0.232
2024-01-23,SOXL,3.3138,0.691,3.308,3.3741,3.4402,3.5063
2024-01-24,SOXL,5.3614,1.3344,5.3556,5.486,5.6165,5.7469
2024-01-25,SOXL,-5.8982,0.2622,-5.904,-5.8808,-5.8576,-5.8344
2024-01-26,SOXL,0.6469,0.0653,0.6411,0.6418,0.6426,0.6434
2024-01-29,SOXL,-1.5389,-0.2435,-1.5447,-1.5721,-1.5995,-1.6268
2024-01-30,SOXL,-4.7449,0.8282,-4.7507,-4.6709,-4.5911,-4.5113
2024-01-31,SOXL,0.6862,-0.4231,0.6804,0.6351,0.5897,0.5444
2024-02-01,SOXL,-0.3082,-1.1338,-0.314,-0.4304,-0.5468,-0.6632
2024-02-02,SOXL,2.5534,-0.9758,2.5476,2.4443,2.341,2.2376
2024-02-05,SOXL,0.7405,-0.0498,0.7347,0.7267,0.7187,0.7107
2024-02-06,SOXL,1.7736,0.3972,1.7678,1.8045,1.8411,1.8778
2024-02-07,SOXL,1.0175,-0.4465,1.0117,0.964,0.9164,0.8687
2024-02-08,SOXL,1.9107,-0.2831,1.9049,1.8735,1.8422,1.8108
2024-02-09,SOXL,0.1525,0.0,0.1467,0.1409,0.1351,0.1294
2024-02-12,SOXL,-8.7867,-0.5577,-8.7925,-8.8513,-8.9101,-8.9689
2024-02-13,SOXL,3.7813,0.3669,3.7755,3.8091,3.8428,3.8765
2024-02-14,SOXL,2.0148,0.3151,2.009,2.0375,2.066,2.0944
2024-02-15,SOXL,1.9462,-0.5873,1.9404,1.8787,1.8169,1.7552
2024-02-16,SOXL,-2.8184,-0.1797,-2.8242,-2.8493,-2.8744,-2.8995
2024-02-20,SOXL,-3.544,0.6537,-3.5498,-3.4874,-3.4251,-3.3627
2024-02-21,SOXL,11.9258,-0.7903,11.92,11.838,11.7559,11.6739
2024-02-22,SOXL,1.6401,0.2113,1.6343,1.6524,1.6705,1.6886
2024-02-23,SOXL,2.9213,-0.4842,2.9155,2.8614,2.8072,2.753
2024-02-26,SOXL,1.528,0.5927,1.5222,1.5785,1.6347,1.6909
2024-02-27,SOXL,-3.2619,-0.1131,-3.2677,-3.2821,-3.2964,-3.3107
2024-02-28,SOXL,3.5705,0.3866,3.5647,3.6004,3.636,3.6716
2024-02-29,SOXL,3.7383,-0.306,3.7325,3.6989,3.6653,3.6316
2024-03-01,SOXL,3.4133,-0.4699,3.4075,3.3548,3.302,3.2493
2024-03-04,SOXL,-3.5169,0.3027,-3.5227,-3.4954,-3.4682,-3.4409
2024-03-05,SOXL,6.2553,0.7191,6.2495,6.3184,6.3873,6.4562
2024-03-06,SOXL,3.8439,0.823,3.8381,3.9173,3.9966,4.0759
2024-03-07,SOXL,1.1208,0.2831,1.115,1.1402,1.1655,1.1908
2024-03-08,SOXL,-3.8706,-0.1412,-3.8764,-3.8963,-3.9161,-3.936
2024-03-11,XLU,3.7465,-0.2029,-0.5488,-0.5488,-0.5488,-0.5488
2024-03-12,XLU,-3.5642,0.788,1.9286,1.9286,1.9286,1.9286
2024-03-13,XLU,-0.8052,-0.2192,-0.5894,-0.5894,-0.5894,-0.5894
2024-03-14,XLU,-3.9513,-0.3156,-0.8305,-0.8305,-0.8305,-0.8305
2024-03-15,XLU,4.7574,-0.6934,-1.7749,-1.7749,-1.7749,-1.7749
2024-03-18,XLU,-4.1667,0.2372,0.5516,0.5516,0.5516,0.5516
2024-03-19,XLU,0.6047,-0.1724,-0.4726,-0.4726,-0.4726,-0.4726
2024-03-20,XLU,9.5972,0.2662,0.6239,0.6239,0.6239,0.6239
2024-03-21,XLU,-1.3178,0.6429,1.5658,1.5658,1.5658,1.5658
2024-03-22,SOXL,-4.1155,0.2819,-4.1213,-4.0989,-4.0765,-4.054
2024-03-25,SOXL,2.0929,0.1091,2.0871,2.095,2.1028,2.1107
2024-03-26,SOXL,3.0492,0.741,3.0434,3.1145,3.1855,3.2566
