leg,return_on_capital_pct,return_on_equity_pct
SOXL,-2.8816,-2.8816
SOXL,-3.5591,-3.5591
SOXL,5.8898,5.8898
SOXL,-2.8717,-2.8717
XLU,0.6044,1.5109
XLU,0.3454,0.8635
XLU,0.4319,1.0798
XLU,-0.1271,-0.3177
XLU,0.6286,1.5714
XLU,0.4793,1.1983
XLU,0.3561,0.8903
XLU,-0.1023,-0.2557
XLU,0.0046,0.0115
XLU,-0.2066,-0.5166
XLU,0.0258,0.0645
XLU,-0.687,-1.7176
XLU,-1.5788,-3.9469
SOXL,4.749,4.749
XLU,-0.6936,-1.7339
XLU,-0.5923,-1.4807
SOXL,-4.9557,-4.9557
XLU,-0.4008,-1.002
XLU,-0.1455,-0.3637
SOXL,-4.5691,-4.5691
XLU,1.0587,2.6467
XLU,1.0268,2.5671
SOXL,2.6204,2.6204
XLU,-0.3985,-0.9963
XLU,-0.1878,-0.4695
XLU,-0.1885,-0.4712
XLU,0.4089,1.0223
XLU,0.851,2.1276
XLU,1.0754,2.6886
XLU,-0.1468,-0.367
XLU,0.5681,1.4202
XLU,0.6329,1.5822
XLU,-0.4058,-1.0145
XLU,0.5526,1.3814
SOXL,-2.0686,-2.0686
SOXL,1.429,1.429
SOXL,5.835,5.835
SOXL,9.3926,9.3926
SOXL,-2.2017,-2.2017
SOXL,7.1958,7.1958
XLU,0.2386,0.5966
XLU,0.6312,1.5779
XLU,-0.1259,-0.3147
XLU,0.7119,1.7797
XLU,0.0709,0.1773
XLU,0.4023,1.0057
XLU,-0.0166,-0.0415
XLU,0.2256,0.5641
XLU,0.4865,1.2162
XLU,0.0709,0.1774
XLU,0.0276,0.0691
XLU,0.7971,1.9928
XLU,0.2712,0.678
XLU,-0.1946,-0.4865
XLU,0.5845,1.4612
XLU,-0.6915,-1.7289
XLU,0.438,1.0951
XLU,-0.2326,-0.5816
XLU,0.3774,0.9436
XLU,0.5106,1.2766
XLU,0.6069,1.5172
