R1 PUT DIAGONAL INCOME ENGINE -- BACKTEST REPORT
run: 2026-07-19 10:00
NOTE: EOD decisions (option data is EOD); Monday-10:00 spec needs intraday option data (already on the request list).

BASE CONFIG {'short_delta': 0.225, 'anchor_mness': 1.0, 'anchor_dte': 150, 'anchor_dte_lo': 120, 'anchor_dte_hi': 180, 'anchor_roll_dte': 45, 'anchor_roll_drift': 0.1, 'roll_up': True, 'short_ratio': 1.0, 'no_anchor': False, 'delta_defense': False, 'defense_trigger': 0.5, 'sizing': 'notional', 'invest_frac': 0.75, 'sweep_frac': 0.25, 'start_capital': 150000.0}

  config: d22%_m100%_t150_notional_r10%
  weeks: 131
  blown: False
  end_wealth: 52456.0
  total_ret_pct: -65.0
  cagr_pct: -34.1
  max_dd_pct: -65.1
  ann_vol_pct: 16.5
  worst_wk_pct: -7.2
  income_weeks: 71
  loss_weeks: 55
  short_prem_collected: 105370.0
  short_realized: -30028.0
  anchor_realized: -64810.0
  anchor_rolls: 61
  sweep_final: 35288.0
  commissions: 2707.0
  qa_wealth_recon: PASS

PARAMETER GRID (sorted by end wealth)
                                config  weeks  blown  end_wealth  total_ret_pct  cagr_pct  max_dd_pct  ann_vol_pct  worst_wk_pct  income_weeks  loss_weeks  short_prem_collected  short_realized  anchor_realized  anchor_rolls  sweep_final  commissions qa_wealth_recon
           d25%_m90%_t150_premium_r10%    131  False    34585.20          -76.9     -44.1       -76.3         41.2         -32.2            32          23              141098.0          5441.0        -117718.0            26     34375.80       3138.0            PASS
       d30%_m90%_t150_premium_r10%_def    131  False    33662.80          -77.6     -44.7       -77.4         39.9         -26.2            29          26              187152.0          6278.0        -119108.0            25     33430.50       3507.0            PASS
       d22%_m90%_t150_premium_r10%_def    131  False    32898.80          -78.1     -45.2       -77.8         40.9         -29.9            32          26              141496.0         15065.0        -128610.0            28     32659.55       3557.0            PASS
          d22%_m100%_t150_premium_r10%    131  False    32713.85          -78.2     -45.4       -78.5         38.9         -29.1            39          33              112777.0         -9938.0        -104613.0            40     32303.85       2735.0            PASS
      d25%_m100%_t150_premium_r10%_def    131  False    31899.40          -78.7     -45.9       -79.3         41.3         -27.9            42          37              136873.0         -8619.0        -106390.0            42     31326.85       3091.0            PASS
           d15%_m85%_t150_premium_r10%    131  False    31386.00          -79.1     -46.3       -81.8         42.3         -34.3            37          24               96177.0          4039.0        -118389.0            28     31268.80       4264.0            PASS
           d22%_m90%_t150_premium_r10%    131  False    30843.75          -79.4     -46.6       -78.9         40.8         -32.0            35          26              123330.0          -134.0        -116000.0            31     30636.10       3022.0            PASS
       d15%_m85%_t150_premium_r10%_def    131  False    29836.65          -80.1     -47.3       -80.3         47.0         -30.1            41          29               89315.0          7834.0        -123854.0            35     29701.90       4144.0            PASS
       d20%_m90%_t150_premium_r10%_def    131  False    29123.85          -80.6     -47.8       -81.0         43.3         -26.2            35          24              109531.0         21567.0        -138928.0            29     28908.60       3515.0            PASS
       d25%_m90%_t150_premium_r10%_def    131  False    28664.95          -80.9     -48.2       -80.7         42.3         -29.7            32          29              143719.0          -193.0        -117805.0            28     28480.70       3336.0            PASS
      d15%_m100%_t150_premium_r10%_def    131  False    28457.65          -81.0     -48.3       -81.9         47.7         -30.2            44          32               64897.0           754.0        -119331.0            41     27908.45       2966.0            PASS
          d15%_m100%_t150_premium_r10%    131  False    27247.20          -81.8     -49.2       -84.0         43.3         -31.5            41          31               66228.0         -2535.0        -117296.0            40     26735.80       2922.0            PASS
           d15%_m90%_t150_premium_r10%    131  False    23812.70          -84.1     -51.8       -86.1         44.0         -35.4            35          25               71132.0         11159.0        -134132.0            29     23668.30       3215.0            PASS
       d15%_m90%_t150_premium_r10%_def    131  False    21597.80          -85.6     -53.7       -85.9         48.5         -30.5            34          26               67356.0          5925.0        -131152.0            30     21369.95       3175.0            PASS

QA: wealth reconciliation failures across grid: 0 of 83
