final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
266895.0,77.9,13.7,-71.6,82.6,838,271,-100218.0,2.5,2,soxs_recover,half_cash
282411.0,88.3,15.1,-70.8,83.2,838,275,-92169.0,2.5,2,soxs_fixed5,half_cash
124681.0,-16.9,-4.0,-51.5,87.8,660,191,-207331.0,2.5,2,soxs_lot,half_cash
504865.0,236.6,31.0,-80.7,78.0,725,184,0.0,2.5,3,none,half_cash
331644.0,121.1,19.3,-90.0,100.0,725,184,0.0,2.5,3,stop,full
186027.0,24.0,4.9,-79.4,78.1,709,182,-82352.0,2.5,3,soxs_recover,half_cash
315819.0,110.5,18.0,-66.8,78.1,708,184,-78625.0,2.5,3,soxs_fixed5,half_cash
61262.0,-59.2,-18.1,-71.7,84.7,633,168,-126853.0,2.5,3,soxs_lot,half_cash
628708.0,319.1,37.6,-76.1,73.1,697,134,0.0,2.5,4,none,half_cash
276665.0,84.4,14.6,-91.7,100.0,697,134,0.0,2.5,4,stop,full
176993.0,18.0,3.8,-75.4,72.4,692,133,-106893.0,2.5,4,soxs_recover,half_cash
269558.0,79.7,13.9,-67.1,74.2,696,134,-137287.0,2.5,4,soxs_fixed5,half_cash
81524.0,-45.7,-12.7,-56.7,80.9,687,127,-176718.0,2.5,4,soxs_lot,half_cash
467918.0,211.9,28.8,-76.7,69.7,602,103,0.0,2.5,5,none,half_cash
290824.0,93.9,15.9,-91.4,100.0,602,103,0.0,2.5,5,stop,full
142806.0,-4.8,-1.1,-75.5,69.5,599,103,-86235.0,2.5,5,soxs_recover,half_cash
338673.0,125.8,19.9,-63.2,70.2,602,103,-113585.0,2.5,5,soxs_fixed5,half_cash
128484.0,-14.3,-3.4,-54.0,77.3,604,100,-178405.0,2.5,5,soxs_lot,half_cash
400761.0,167.2,24.4,-77.5,65.7,533,81,0.0,2.5,7,none,half_cash
343618.0,129.1,20.3,-89.8,100.0,533,81,0.0,2.5,7,stop,full
266356.0,77.6,13.6,-68.5,65.2,533,81,-54022.0,2.5,7,soxs_recover,half_cash
364861.0,143.2,21.9,-66.5,65.3,533,81,-105648.0,2.5,7,soxs_fixed5,half_cash
204366.0,36.2,7.1,-51.2,72.6,527,79,-165451.0,2.5,7,soxs_lot,half_cash
478946.0,219.3,29.5,-87.9,90.0,917,564,0.0,3.0,1,none,half_cash
431394.0,187.6,26.5,-90.6,100.0,917,564,0.0,3.0,1,stop,full
140567.0,-6.3,-1.4,-84.0,89.4,856,518,-85982.0,3.0,1,soxs_recover,half_cash
255743.0,70.5,12.6,-75.2,90.3,886,536,-126625.0,3.0,1,soxs_fixed5,half_cash
104070.0,-30.6,-7.8,-50.0,92.4,585,327,-271497.0,3.0,1,soxs_lot,half_cash
452209.0,201.5,27.8,-83.2,83.2,714,289,0.0,3.0,2,none,half_cash
357766.0,138.5,21.3,-90.6,100.0,714,289,0.0,3.0,2,stop,full
303365.0,102.2,17.0,-69.0,83.1,696,283,-113045.0,3.0,2,soxs_recover,half_cash
266513.0,77.7,13.6,-75.1,83.3,704,284,-89285.0,3.0,2,soxs_fixed5,half_cash
98485.0,-34.3,-8.9,-65.9,87.5,584,223,-160226.0,3.0,2,soxs_lot,half_cash
492703.0,228.5,30.3,-80.6,78.4,614,191,0.0,3.0,3,none,half_cash
357243.0,138.2,21.3,-90.7,100.0,614,191,0.0,3.0,3,stop,full
158881.0,5.9,1.3,-81.4,78.2,600,188,-79310.0,3.0,3,soxs_recover,half_cash
336509.0,124.3,19.7,-69.0,78.4,604,190,-70284.0,3.0,3,soxs_fixed5,half_cash
83138.0,-44.6,-12.3,-65.0,85.4,536,177,-143281.0,3.0,3,soxs_lot,half_cash
508574.0,239.0,31.2,-78.9,74.0,577,140,0.0,3.0,4,none,half_cash
283817.0,89.2,15.3,-91.1,100.0,577,140,0.0,3.0,4,stop,full
