date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2024-02-15,68362.77686853694,2113.776871830094,1700,39.05,42.0,22.0,136.00000329315662,4.0620756111995335e-105
2024-02-16,67257.7768718301,2113.776871830094,1700,38.32,,,0.0,0.0
2024-02-20,63006.82692246126,1529.3267311303516,1500,36.4,42.0,35.0,772.5000232458115,7650.000214576721
2024-02-21,62931.82665558146,1529.3267311303516,1500,36.14,42.0,35.0,382.5000040233135,7574.999928474426
2024-02-22,67896.82685987638,1529.3267311303516,1500,41.46,42.0,35.0,959.9999785423279,5137.500107288361
2024-02-23,66966.82680265591,1529.3267311303516,1500,40.05,,35.0,0.0,5362.500071525574
2024-02-26,68094.75186030552,3234.7517852036854,1500,41.23,42.0,35.0,1784.9999964237213,4800.000071525574
2024-02-27,68139.75182633089,3234.7517852036854,1500,41.08,42.0,35.0,1364.999994635582,4650.000035762787
2024-02-28,67599.751853153,3234.7517852036854,1500,39.77,42.0,35.0,465.0000035762787,5175.000071525574
2024-02-29,70172.25167791532,3234.7517852036854,1500,42.8,42.0,35.0,1860.0000143051147,4597.499907016754
2024-03-01,68769.75177447485,66227.25178520368,0,48.34,,35.0,0.0,2542.499989271164
2024-03-04,69228.379731652,4533.879737850893,1300,49.76,51.0,35.0,2112.5,2118.999993801117
2024-03-05,67310.87976109672,4533.879737850893,1300,46.84,51.0,35.0,714.9999767541885,2600.0
2024-03-06,69936.87969135927,4533.879737850893,1300,50.21,51.0,35.0,1995.5000340938568,2125.499987602234
2024-03-07,71971.3795146911,4533.879737850893,1300,55.32,51.0,35.0,6467.500185966492,1988.9999628067017
2024-03-08,70996.37968206094,4533.879737850893,1300,48.83,,35.0,0.0,2983.4999442100525
2024-03-11,68314.86962504672,5557.369705632199,1300,46.71,51.0,35.0,1300.0,3334.4999194145203
2024-03-12,70791.36960335063,5557.369705632199,1300,49.66,51.0,35.0,1846.0000216960907,2521.9999194145203
2024-03-13,68379.86969594646,5557.369705632199,1300,45.95,51.0,35.0,337.99999728798866,3425.499987602234
2024-03-14,66020.36971226694,5557.369705632199,1300,43.53,51.0,35.0,19.499999564141035,3893.500006198883
