tenor,short_rule,short_param,width,trades,win_rate,breach_rate,maxloss_rate,avg_credit_pct_width,mean_ror,median_ror,total_ror,mean_pnl_share,worst_ror,best_ror,frac10_end,frac10_cagr,frac10_maxdd,full_risk_ruined,full_risk_ruin_trade
two_week,otm_step,1.0,1,110,0.5636363636363636,0.4727272727272727,0.4,0.3216363636363636,-0.1575518907159681,0.19152067472334608,-17.33070797875649,-0.1583090909090909,-1.0,0.8726591760299625,13351.600000000059,-0.36172660609702767,-0.8986769133502538,True,5
monthly,delta,0.2,1,44,0.75,0.25,0.22727272727272727,0.08069090909090912,-0.16390988987078578,0.08108234458126472,-7.212035154314574,-0.30404545454545456,-1.0,0.14416475972540047,46655.20000000001,-0.1618654849901433,-0.5615269379477047,True,9
two_week,delta,0.4,1,110,0.6,0.4090909090909091,0.34545454545454546,0.24515454545454543,-0.1721977610104386,0.19331742243436728,-18.941753711148245,-0.2185636363636363,-1.0,0.5527950310559009,12700.600000000093,-0.3695121147814513,-0.8862262082782842,True,5
monthly,otm_step,2.0,3,47,0.5319148936170213,0.48936170212765956,0.2978723404255319,0.25692907801418435,-0.17307117249692422,0.10294117647058816,-8.134345107355438,-0.5687659574468087,-1.0,0.5560165975103731,41577.399999999994,-0.1805306870326736,-0.679395967979253,True,9
monthly,otm_step,1.0,3,47,0.5106382978723404,0.48936170212765956,0.3191489361702128,0.2913009118541034,-0.18556063943436374,0.11940298507462699,-8.721350053415096,-0.5925957446808512,-1.0,0.6501650165016503,37298.59999999999,-0.20047374272046214,-0.7255080600274828,True,6
monthly,delta,0.4,1,45,0.6222222222222222,0.37777777777777777,0.35555555555555557,0.21702222222222217,-0.1885038358149224,0.19904076738609103,-8.482672611671507,-0.18693333333333328,-1.0,0.4492753623188407,39185.4,-0.1945082617728946,-0.6566930375588088,True,6
monthly,delta,0.3,2,46,0.6521739130434783,0.3695652173913043,0.2391304347826087,0.12925797101449274,-0.1895902220173491,0.12045134416499081,-8.721150212798058,-0.4426086956521739,-1.0,0.23762376237623756,39456.400000000016,-0.193444764125704,-0.6380565182373412,True,9
monthly,otm_step,2.0,2,47,0.5319148936170213,0.48936170212765956,0.3404255319148936,0.2623475177304964,-0.2131472576035697,0.12994350282485903,-10.017921107367776,-0.44434042553191505,-1.0,0.5948963317384373,33184.19999999999,-0.22055160081037983,-0.7411370161721371,True,6
monthly,otm_step,2.0,1,46,0.5434782608695652,0.4782608695652174,0.41304347826086957,0.27321739130434775,-0.2143721212665892,0.15876802005710672,-9.861117578263103,-0.3113478260869565,-1.0,0.9607843137254876,33501.600000000006,-0.22092123014048248,-0.7166682453552726,True,6
monthly,otm_step,1.0,2,47,0.5106382978723404,0.48936170212765956,0.44680851063829785,0.3020212765957447,-0.23126874460151856,0.0515247108307042,-10.869630996271372,-0.44778723404255333,-1.0,0.6949152542372885,30103.999999999993,-0.2384140235780806,-0.7718756345333835,True,6
monthly,delta,0.3,1,45,0.6444444444444445,0.37777777777777777,0.3111111111111111,0.13754222222222223,-0.2423623100038918,0.11358574610244987,-10.90630395017513,-0.35888888888888876,-1.0,0.282051282051282,31651.200000000026,-0.23364214936487737,-0.7044832808301416,True,9
monthly,otm_step,1.0,1,47,0.48936170212765956,0.5106382978723404,0.48936170212765956,0.2953191489361702,-0.26650458196647936,-0.30131004366812125,-12.525715352424529,-0.3239148936170212,-1.0,0.7123287671232881,25036.00000000006,-0.2653975968456572,-0.7990878223633482,True,6
