structure,tenor,rule,param,width,trades,win_rate,mean_ror,median_ror,total_ror,worst_ror,net_pct_width,frac10_end,frac10_maxdd,full_ruin_trade
bull_put,weekly,delta,0.3,5,180,0.7111111111111111,-0.06666350606228941,0.11333784188470669,-11.999431091212093,-1.0,0.13221340388007055,29633.40000000017,-0.706503523930637,1.0
bull_put,weekly,otm_step,3.0,2,194,0.7783505154639175,-0.06840590476200327,0.07009371478824855,-13.270745523828634,-1.0,0.13172680412371138,22418.80000000008,-0.7758119999999992,1.0
bull_put,weekly,otm_step,3.0,3,186,0.7580645161290323,-0.07067616624126394,0.0623229461756374,-13.145766920875094,-1.0,0.1251362007168459,24550.00000000008,-0.7544999999999992,1.0
bull_put,weekly,delta,0.3,2,207,0.714975845410628,-0.07090726709945944,0.16822429906542058,-14.677804289588103,-1.0,0.18213848631239937,19776.400000000027,-0.8022359999999997,1.0
bull_put,monthly,otm_step,2.0,3,47,0.6382978723404256,-0.07122373899124475,0.22050447518307567,-3.347515732588503,-1.0,0.26267527862208717,65957.40000000001,-0.3915519999999999,1.0
bull_put,weekly,delta,0.2,1,204,0.7745098039215687,-0.07687036807083501,0.132504283764788,-15.681555086450341,-1.0,0.131043137254902,16984.00000000009,-0.8301599999999991,1.0
bull_put,weekly,delta,0.15,1,198,0.8131313131313131,-0.07812460903187946,0.08459869848156187,-15.468672588312131,-1.0,0.08852929292929294,18557.60000000003,-0.8144239999999997,1.0
bull_call,monthly,delta,0.6,2,47,0.46808510638297873,-0.07889460320264947,-0.5436105476673434,-3.7080463505245254,-1.0,-0.6083829787234043,56359.59999999998,-0.5009480000000002,1.0
bull_call,monthly,delta,0.4,1,47,0.3191489361702128,-0.08074590492030966,-1.0,-3.795057531254554,-1.0,-0.5371418439716311,47023.79999999999,-0.5814492935196156,1.0
bull_put,weekly,otm_step,3.0,1,195,0.764102564102564,-0.08509456378772938,0.09170305676855894,-16.59343993860723,-1.0,0.13584615384615387,15615.600000000024,-0.8438439999999998,1.0
